Handle,Title,Body (HTML),Vendor,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status,Standard Product Type,Custom Product Type
air-moon-safari,AIR - MOON SAFARI,,SOURCE,,True,,,,,,,N724384497811,220,shopify,4,,,31900,,,,78724384497811,https://img.discogs.com/qofpNYcfSmwLQ9arpdii1IU21j8=/fit-in/600x600/filters:strip_icc():format(jpeg):mode_rgb():quality(90)/discogs-images/R-2798033-1438867898-3107.jpeg.jpg,1,,,,,,,,,,,,,,,,,,,,,,,,
afrosound-la-danza-de-los-mirlos,AFROSOUND - LA DANZA DE LOS MIRLOS,,VAMPI SOUL,,True,,,,,,,N8435008863814,220,shopify,1,,,39900,,,,788435008863814,https://img.discogs.com/iXzMySQnlz01jy8-zdphHibUKYw=/fit-in/600x600/filters:strip_icc():format(jpeg):mode_rgb():quality(90)/discogs-images/R-17963395-1616435728-4598.jpeg.jpg,1,,,,,,,,,,,,,,,,,,,,,,,,
alice-in-chains-facelift,ALICE IN CHAINS - FACELIFT,,COLUMBIA,,True,,,,,,,N194397838619,220,shopify,1,,,36900,,,,78194397838619,https://img.discogs.com/u4ac63lsK1XpLfquxsnyO3wytQQ=/fit-in/500x506/filters:strip_icc():format(jpeg):mode_rgb():quality(90)/discogs-images/R-19909144-1629456565-2112.jpeg.jpg,1,,,,,,,,,,,,,,,,,,,,,,,,
arctic-monkeys-favourite-worst-nightmare,ARCTIC MONKEYS - FAVOURITE WORST NIGHTMARE,,DOMINO,,True,,,,,,,N93624945796,220,shopify,1,,,30900,,,,7893624945796,https://img.discogs.com/8Ywvy82zmeGLVCcvjy-kSsnHCOQ=/fit-in/600x600/filters:strip_icc():format(jpeg):mode_rgb():quality(90)/discogs-images/R-4329406-1408467588-4979.jpeg.jpg,1,,,,,,,,,,,,,,,,,,,,,,,,
arctic-monkeys-favourite-worst-nightmare,ARCTIC MONKEYS - FAVOURITE WORST NIGHTMARE,,DOMINO,,True,,,,,,,N93624945796,220,shopify,1,,,32900,,,,7893624945796,https://img.discogs.com/8Ywvy82zmeGLVCcvjy-kSsnHCOQ=/fit-in/600x600/filters:strip_icc():format(jpeg):mode_rgb():quality(90)/discogs-images/R-4329406-1408467588-4979.jpeg.jpg,1,,,,,,,,,,,,,,,,,,,,,,,,
arctic-monkeys-am,ARCTIC MONKEYS - AM,,DOMINO,,True,,,,,,,N887828031719,220,shopify,3,,,34900,,,,78887828031719,https://img.discogs.com/yl6t4LxFdCmXPmFCs5arePEWqJU=/fit-in/600x600/filters:strip_icc():format(jpeg):mode_rgb():quality(90)/discogs-images/R-4904158-1378994053-7212.jpeg.jpg,1,,,,,,,,,,,,,,,,,,,,,,,,
arcade-fire-the-suburbs,ARCADE FIRE - THE SUBURBS,,COLUMBIA,,True,,,,,,,N889854626310,440,shopify,1,,,34900,,,,78889854626310,https://img.discogs.com/R5_MwLBJ3c2A5HD1-TO3L7E3PCo=/fit-in/600x606/filters:strip_icc():format(jpeg):mode_rgb():quality(90)/discogs-images/R-11346765-1515023226-6155.jpeg.jpg,1,,,,,,,,,,,,,,,,,,,,,,,,
backstreet-boys-millennium,BACKSTREET BOYS - MILLENNIUM,,JIVE,,True,,,,,,,N190759540510,220,shopify,3,,,30900,,,,78190759540510,https://img.discogs.com/YFo3NMXFJWqW_QB4rT7IejbVtEE=/fit-in/600x589/filters:strip_icc():format(jpeg):mode_rgb():quality(90)/discogs-images/R-14000878-1566307138-1063.jpeg.jpg,1,,,,,,,,,,,,,,,,,,,,,,,,
björk-greatest-hits,BJÖRK - GREATEST HITS,,ONE LITTLE INDIAN,,True,,,,,,,N5016958049812,440,shopify,1,,,39900,,,,785016958049812,https://img.discogs.com/tx6NEeXa3z3nyeAZY2IjllyBG9I=/fit-in/600x600/filters:strip_icc():format(jpeg):mode_rgb():quality(90)/discogs-images/R-214559-1438515390-9435.jpeg.jpg,1,,,,,,,,,,,,,,,,,,,,,,,,
bad-bunny-x-100pre,BAD BUNNY - X 100PRE,,RIMAS ENTERTAINMENT LLC,,True,,,,,,,N193483899404,440,shopify,1,,,39900,,,,78193483899404,https://img.discogs.com/4EdukUXLnPkM34a-1RD_Jj4-m3E=/fit-in/600x600/filters:strip_icc():format(jpeg):mode_rgb():quality(90)/discogs-images/R-14180830-1569886969-4874.jpeg.jpg,1,,,,,,,,,,,,,,,,,,,,,,,,
the-beatles-with-the-beatles,THE BEATLES - WITH THE BEATLES,,APPLE RECORDS,,True,,,,,,,N94638242017,220,shopify,1,,,34900,,,,7894638242017,https://img.discogs.com/eCmrpfCply9ML1-7VMNbru3nJH4=/fit-in/600x596/filters:strip_icc():format(jpeg):mode_rgb():quality(90)/discogs-images/R-4037109-1353168169-7533.jpeg.jpg,1,,,,,,,,,,,,,,,,,,,,,,,,
